Date,Time,NO2 C(mg/m^3),T,RH,AH,Month,int T
2004-12-03,05.00.00,44.0,6.3,65.0,0.6233,12,6
2004-12-03,06.00.00,71.0,6.8,62.9,0.6234,12,6
2004-12-03,07.00.00,104.0,6.4,65.1,0.6316,12,6
2004-12-03,08.00.00,141.0,7.3,63.1,0.6499,12,7
2004-12-03,10.00.00,122.0,13.2,41.7,0.632,12,13
2004-12-03,11.00.00,143.0,14.3,38.4,0.6243,12,14
2004-12-03,12.00.00,113.0,15.0,36.5,0.6195,12,15
2004-12-03,13.00.00,116.0,16.1,34.5,0.6262,12,16
2004-12-03,14.00.00,123.0,16.3,35.7,0.656,12,16
2004-12-03,15.00.00,126.0,15.8,37.0,0.661,12,15
2004-12-03,16.00.00,120.0,15.9,37.2,0.6657,12,15
2004-12-03,17.00.00,119.0,16.9,34.3,0.6549,12,16
2004-12-03,18.00.00,149.0,15.1,39.6,0.6766,12,15
2004-12-03,19.00.00,145.0,14.4,43.4,0.7084,12,14
2004-12-03,20.00.00,170.0,12.9,50.5,0.7478,12,12
2004-12-03,21.00.00,149.0,12.1,53.3,0.7536,12,12
2004-12-03,22.00.00,139.0,11.0,59.1,0.774,12,11
2004-12-03,23.00.00,134.0,9.7,64.6,0.7771,12,9
2004-03-13,00.00.00,113.0,9.5,64.1,0.7597,3,9
2004-03-13,01.00.00,97.0,9.1,63.9,0.7423,3,9
2004-03-13,02.00.00,82.0,8.8,63.9,0.7256,3,8
2004-03-13,04.00.00,83.0,7.0,71.1,0.7158,3,7
2004-03-13,05.00.00,65.0,8.3,63.6,0.6982,3,8
2004-03-13,06.00.00,60.0,7.2,67.5,0.6887,3,7
2004-03-13,07.00.00,77.0,6.3,71.9,0.6932,3,6
2004-03-13,08.00.00,96.0,6.5,71.6,0.6945,3,6
2004-03-13,09.00.00,119.0,9.6,59.7,0.7124,3,9
2004-03-13,10.00.00,126.0,12.4,51.2,0.7335,3,12
2004-03-13,11.00.00,158.0,15.6,42.2,0.7451,3,15
2004-03-13,12.00.00,161.0,18.4,33.8,0.709,3,18
2004-03-13,13.00.00,124.0,19.4,31.3,0.695,3,19
2004-03-13,14.00.00,102.0,18.0,34.8,0.7127,3,18
2004-03-13,15.00.00,116.0,18.4,33.6,0.7042,3,18
2004-03-13,16.00.00,124.0,17.6,35.1,0.7012,3,17
2004-03-13,17.00.00,125.0,16.7,37.8,0.7117,3,16
2004-03-13,18.00.00,148.0,16.1,41.0,0.7451,3,16
2004-03-13,19.00.00,165.0,15.8,42.4,0.7569,3,15
2004-03-13,20.00.00,161.0,15.7,44.1,0.7786,3,15
2004-03-13,21.00.00,159.0,15.3,46.8,0.8091,3,15
2004-03-13,22.00.00,143.0,14.6,48.6,0.806,3,14
2004-03-13,23.00.00,130.0,14.7,49.3,0.8193,3,14
2004-03-14,00.00.00,129.0,13.9,53.6,0.8498,3,13
2004-03-14,01.00.00,119.0,14.6,51.5,0.8536,3,14
2004-03-14,02.00.00,104.0,12.5,58.9,0.8537,3,12
2004-03-14,04.00.00,82.0,12.1,61.1,0.8603,3,12
2004-03-14,05.00.00,70.0,11.5,63.1,0.8533,3,11
2004-03-14,06.00.00,63.0,11.6,62.2,0.8473,3,11
2004-03-14,07.00.00,67.0,10.4,67.6,0.853,3,10
2004-03-14,08.00.00,84.0,11.6,62.7,0.853,3,11
2004-03-14,09.00.00,83.0,12.4,60.0,0.8627,3,12
2004-03-14,10.00.00,98.0,14.5,53.1,0.8728,3,14
2004-03-14,11.00.00,114.0,16.9,46.1,0.8789,3,16
2004-03-14,12.00.00,119.0,19.3,38.3,0.8474,3,19
2004-03-14,13.00.00,104.0,21.2,31.4,0.7812,3,21
2004-03-14,14.00.00,102.0,21.4,30.2,0.7616,3,21
2004-03-14,15.00.00,107.0,21.9,29.0,0.7525,3,21
2004-03-14,16.00.00,129.0,22.2,28.4,0.7516,3,22
2004-03-14,17.00.00,128.0,21.3,30.8,0.7696,3,21
2004-03-14,18.00.00,121.0,19.7,36.7,0.8307,3,19
2004-03-14,19.00.00,157.0,18.4,41.7,0.8732,3,18
2004-03-14,20.00.00,173.0,17.6,46.1,0.921,3,17
2004-03-14,21.00.00,146.0,16.7,49.6,0.932,3,16
2004-03-14,22.00.00,121.0,16.3,51.0,0.9341,3,16
2004-03-14,23.00.00,119.0,14.7,55.9,0.9314,3,14
2004-03-15,00.00.00,99.0,14.8,54.7,0.9164,3,14
2004-03-15,01.00.00,93.0,14.0,57.0,0.9094,3,14
2004-03-15,02.00.00,88.0,13.4,61.3,0.9361,3,13
2004-03-15,04.00.00,71.0,12.3,65.4,0.9351,3,12
2004-03-15,05.00.00,74.0,11.9,67.4,0.9375,3,11
2004-03-15,06.00.00,80.0,11.4,70.5,0.9475,3,11
2004-03-15,07.00.00,89.0,11.3,70.2,0.9401,3,11
2004-03-15,08.00.00,114.0,12.4,63.9,0.917,3,12
2004-03-15,09.00.00,149.0,14.8,54.3,0.9076,3,14
2004-03-15,10.00.00,157.0,17.4,45.6,0.8993,3,17
2004-03-15,11.00.00,155.0,19.8,38.5,0.8801,3,19
2004-03-15,12.00.00,134.0,22.0,34.1,0.8904,3,22
2004-03-15,13.00.00,119.0,23.3,32.2,0.9096,3,23
2004-03-15,14.00.00,111.0,23.9,30.0,0.8757,3,23
2004-03-15,15.00.00,104.0,24.4,28.9,0.8736,3,24
2004-03-15,16.00.00,99.0,24.4,29.4,0.8848,3,24
2004-03-15,17.00.00,110.0,23.8,31.3,0.9137,3,23
2004-03-15,18.00.00,162.0,22.5,35.4,0.9547,3,22
2004-03-15,19.00.00,187.0,20.4,42.5,1.0086,3,20
2004-03-15,20.00.00,165.0,18.3,52.6,1.0945,3,18
2004-03-15,21.00.00,145.0,16.7,57.4,1.0786,3,16
2004-03-15,22.00.00,125.0,15.7,60.2,1.0654,3,15
2004-03-15,23.00.00,101.0,15.3,61.4,1.058,3,15
2004-03-16,00.00.00,103.0,14.1,65.7,1.0494,3,14
2004-03-16,01.00.00,88.0,14.8,60.6,1.0148,3,14
2004-03-16,02.00.00,61.0,14.8,59.2,0.9879,3,14
2004-03-16,04.00.00,59.0,12.3,66.2,0.945,3,12
2004-03-16,05.00.00,52.0,12.8,63.2,0.9283,3,12
2004-03-16,06.00.00,64.0,11.2,68.5,0.9081,3,11
2004-03-16,07.00.00,70.0,11.0,66.5,0.8705,3,11
2004-03-16,08.00.00,97.0,11.7,63.7,0.8719,3,11
2004-03-16,09.00.00,95.0,13.6,56.3,0.8743,3,13
2004-03-16,10.00.00,150.0,17.8,42.9,0.8672,3,17
2004-03-16,11.00.00,162.0,21.4,33.3,0.8417,3,21
2004-03-16,12.00.00,154.0,24.4,27.4,0.8231,3,24
2004-03-16,13.00.00,161.0,25.3,26.1,0.8264,3,25
2004-03-16,14.00.00,161.0,25.8,23.2,0.7589,3,25
2004-03-16,15.00.00,128.0,27.0,20.2,0.7094,3,27
2004-03-16,16.00.00,129.0,28.2,18.6,0.7014,3,28
2004-03-16,17.00.00,133.0,28.0,19.1,0.7098,3,28
2004-03-16,18.00.00,139.0,23.9,25.7,0.7519,3,23
2004-03-16,19.00.00,137.0,21.3,34.8,0.873,3,21
2004-03-16,20.00.00,143.0,20.4,36.7,0.8704,3,20
2004-03-16,21.00.00,177.0,19.0,41.3,0.9007,3,19
2004-03-16,22.00.00,138.0,17.9,45.9,0.9342,3,17
2004-03-16,23.00.00,117.0,16.7,48.9,0.9226,3,16
2004-03-17,00.00.00,107.0,15.5,52.9,0.9271,3,15
2004-03-17,01.00.00,90.0,15.5,51.9,0.9059,3,15
2004-03-17,02.00.00,79.0,14.1,55.6,0.891,3,14
2004-03-17,04.00.00,60.0,12.7,57.9,0.8447,3,12
2004-03-17,05.00.00,40.0,11.8,58.0,0.8026,3,11
2004-03-17,06.00.00,53.0,11.9,57.4,0.7978,3,11
2004-03-17,07.00.00,84.0,9.9,65.2,0.7956,3,9
2004-03-17,08.00.00,108.0,11.1,60.2,0.7958,3,11
2004-03-17,09.00.00,127.0,14.1,50.0,0.802,3,14
2004-03-17,10.00.00,134.0,17.7,40.1,0.8048,3,17
2004-03-17,11.00.00,135.0,21.1,33.4,0.8265,3,21
2004-03-17,12.00.00,142.0,24.3,28.3,0.8471,3,24
2004-03-17,13.00.00,153.0,25.6,25.6,0.8254,3,25
2004-03-17,14.00.00,123.0,25.9,25.9,0.8503,3,25
2004-03-17,15.00.00,104.0,26.8,18.7,0.65,3,26
2004-03-17,16.00.00,129.0,29.3,15.8,0.6309,3,29
2004-03-17,17.00.00,114.0,28.5,14.9,0.5708,3,28
2004-03-17,18.00.00,158.0,25.9,16.0,0.5237,3,25
2004-03-17,19.00.00,194.0,23.1,26.5,0.7403,3,23
2004-03-17,20.00.00,182.0,20.5,38.2,0.9133,3,20
2004-03-17,21.00.00,180.0,19.1,42.6,0.9294,3,19
2004-03-17,22.00.00,136.0,17.2,44.1,0.8558,3,17
2004-03-17,23.00.00,127.0,16.0,50.9,0.9206,3,16
2004-03-18,00.00.00,116.0,14.8,53.9,0.9024,3,14
2004-03-18,01.00.00,107.0,14.3,55.4,0.8975,3,14
2004-03-18,02.00.00,88.0,14.8,52.1,0.8686,3,14
2004-03-18,04.00.00,78.0,11.6,61.9,0.8442,3,11
2004-03-18,05.00.00,57.0,12.0,58.9,0.8233,3,12
2004-03-18,06.00.00,71.0,10.9,62.1,0.8113,3,10
2004-03-18,07.00.00,85.0,10.6,63.3,0.8067,3,10
2004-03-18,08.00.00,124.0,11.5,60.0,0.8117,3,11
2004-03-18,09.00.00,151.0,14.3,50.6,0.8186,3,14
2004-03-18,10.00.00,150.0,17.8,40.5,0.821,3,17
2004-03-18,11.00.00,152.0,20.8,34.4,0.8365,3,20
2004-03-18,12.00.00,139.0,23.8,28.2,0.8219,3,23
2004-03-18,13.00.00,133.0,24.2,28.7,0.8515,3,24
2004-03-18,14.00.00,126.0,25.2,24.9,0.7829,3,25
2004-03-18,15.00.00,128.0,27.0,17.8,0.6275,3,27
2004-03-18,16.00.00,169.0,27.1,23.1,0.818,3,27
2004-03-18,17.00.00,149.0,25.8,23.9,0.7832,3,25
2004-03-18,18.00.00,156.0,23.0,26.8,0.7446,3,23
2004-03-18,19.00.00,168.0,20.7,31.1,0.7523,3,20
2004-03-18,20.00.00,176.0,18.6,36.2,0.7676,3,18
2004-03-18,21.00.00,135.0,16.0,48.4,0.8768,3,16
2004-03-18,22.00.00,121.0,14.5,57.8,0.9456,3,14
2004-03-18,23.00.00,99.0,13.1,64.2,0.9606,3,13
2004-03-19,00.00.00,106.0,12.0,69.7,0.9735,3,12
2004-03-19,01.00.00,96.0,11.9,71.1,0.9915,3,11
2004-03-19,02.00.00,63.0,12.5,69.3,1.0029,3,12
2004-03-19,04.00.00,32.0,12.3,67.7,0.9665,3,12
2004-03-19,05.00.00,28.0,12.5,66.8,0.962,3,12
2004-03-19,06.00.00,61.0,12.3,66.3,0.9487,3,12
2004-03-19,07.00.00,99.0,12.4,64.9,0.9332,3,12
2004-03-19,08.00.00,157.0,13.0,61.6,0.9209,3,13
2004-03-19,09.00.00,166.0,13.6,58.8,0.912,3,13
2004-03-19,10.00.00,149.0,13.9,57.1,0.9032,3,13
2004-03-19,11.00.00,135.0,14.5,54.4,0.8917,3,14
2004-03-19,12.00.00,127.0,15.5,50.1,0.8744,3,15
2004-03-19,13.00.00,122.0,16.1,47.6,0.8655,3,16
2004-03-19,14.00.00,135.0,16.3,47.1,0.864,3,16
2004-03-19,15.00.00,139.0,16.4,47.5,0.8791,3,16
2004-03-19,16.00.00,147.0,16.1,50.2,0.9094,3,16
2004-03-19,17.00.00,158.0,16.0,50.7,0.9142,3,16
2004-03-19,18.00.00,146.0,15.8,50.3,0.8989,3,15
2004-03-19,19.00.00,144.0,15.5,50.6,0.884,3,15
2004-03-19,20.00.00,138.0,15.4,51.4,0.8956,3,15
2004-03-19,21.00.00,143.0,15.2,53.1,0.9117,3,15
2004-03-19,22.00.00,116.0,14.7,57.6,0.9573,3,14
2004-03-19,23.00.00,109.0,14.2,58.3,0.938,3,14
2004-03-20,00.00.00,92.0,13.8,57.9,0.9085,3,13
2004-03-20,01.00.00,83.0,13.9,55.9,0.8842,3,13
2004-03-20,02.00.00,81.0,13.9,55.6,0.8765,3,13
2004-03-20,04.00.00,55.0,13.8,54.6,0.8574,3,13
2004-03-20,05.00.00,53.0,13.6,55.1,0.856,3,13
2004-03-20,06.00.00,67.0,13.6,59.0,0.9129,3,13
2004-03-20,07.00.00,91.0,13.5,58.4,0.896,3,13
2004-03-20,08.00.00,113.0,13.8,58.0,0.9083,3,13
2004-03-20,09.00.00,102.0,14.6,53.1,0.8765,3,14
2004-03-20,10.00.00,107.0,15.0,52.3,0.8881,3,15
2004-03-20,11.00.00,113.0,15.4,52.1,0.9046,3,15
2004-03-20,12.00.00,108.0,16.3,50.0,0.9158,3,16
2004-03-20,13.00.00,105.0,17.1,47.9,0.9281,3,17
2004-03-20,14.00.00,93.0,19.0,42.9,0.937,3,19
2004-03-20,15.00.00,87.0,19.5,42.3,0.9476,3,19
2004-03-20,16.00.00,76.0,19.5,42.3,0.9493,3,19
2004-03-20,17.00.00,94.0,19.1,43.8,0.9556,3,19
2004-03-20,18.00.00,110.0,18.5,46.3,0.9744,3,18
2004-03-20,19.00.00,136.0,17.4,51.6,1.0159,3,17
2004-03-20,20.00.00,139.0,17.1,51.3,0.9914,3,17
2004-03-20,21.00.00,125.0,16.4,53.8,0.9964,3,16
2004-03-20,22.00.00,111.0,16.2,55.4,1.0132,3,16
2004-03-20,23.00.00,97.0,15.9,57.7,1.0356,3,15
2004-03-21,00.00.00,107.0,15.7,58.6,1.0396,3,15
2004-03-21,01.00.00,90.0,15.1,60.9,1.0398,3,15
2004-03-21,02.00.00,84.0,15.6,56.6,0.9951,3,15
2004-03-21,04.00.00,87.0,15.4,57.8,1.0021,3,15
2004-03-21,05.00.00,66.0,14.9,60.6,1.0196,3,14
2004-03-21,06.00.00,36.0,14.5,63.0,1.0316,3,14
2004-03-21,07.00.00,62.0,14.2,66.2,1.063,3,14
2004-03-21,08.00.00,91.0,14.5,65.3,1.0704,3,14
2004-03-21,09.00.00,89.0,15.3,62.1,1.073,3,15
2004-03-21,10.00.00,93.0,16.3,59.0,1.0868,3,16
2004-03-21,11.00.00,81.0,18.9,49.6,1.07,3,18
2004-03-21,12.00.00,82.0,19.4,46.1,1.0249,3,19
2004-03-21,13.00.00,80.0,20.8,41.6,1.0091,3,20
2004-03-21,14.00.00,48.0,21.4,40.3,1.0126,3,21
2004-03-21,15.00.00,61.0,21.2,39.3,0.9791,3,21
2004-03-21,16.00.00,89.0,20.3,38.0,0.8942,3,20
2004-03-21,17.00.00,105.0,19.4,41.3,0.9206,3,19
2004-03-21,18.00.00,116.0,18.5,43.8,0.9252,3,18
2004-03-21,19.00.00,119.0,17.8,48.1,0.9689,3,17
2004-03-21,20.00.00,144.0,17.9,46.9,0.952,3,17
2004-03-21,21.00.00,123.0,17.4,49.1,0.9688,3,17
2004-03-21,22.00.00,105.0,17.0,51.7,0.9914,3,17
2004-03-21,23.00.00,93.0,16.4,55.1,1.0198,3,16
2004-03-22,00.00.00,86.0,16.1,60.0,1.0919,3,16
2004-03-22,01.00.00,76.0,15.8,60.5,1.0805,3,15
2004-03-22,02.00.00,33.0,16.3,57.0,1.0491,3,16
2004-03-22,04.00.00,27.0,16.1,55.9,1.0153,3,16
2004-03-22,05.00.00,23.0,16.5,53.9,1.0049,3,16
2004-03-22,06.00.00,46.0,16.4,54.0,0.9979,3,16
2004-03-22,07.00.00,76.0,15.7,57.6,1.0195,3,15
2004-03-22,08.00.00,116.0,15.8,53.7,0.9571,3,15
2004-03-22,09.00.00,115.0,17.4,42.1,0.8281,3,17
2004-03-22,10.00.00,83.0,17.9,38.4,0.7793,3,17
2004-03-22,11.00.00,87.0,18.5,36.7,0.7764,3,18
2004-03-22,12.00.00,90.0,21.0,29.6,0.7263,3,21
2004-03-22,13.00.00,87.0,21.3,28.1,0.7067,3,21
2004-03-22,14.00.00,99.0,21.3,26.1,0.6539,3,21
2004-03-22,15.00.00,99.0,21.3,26.8,0.6681,3,21
2004-03-22,16.00.00,101.0,21.3,24.2,0.606,3,21
2004-03-22,17.00.00,103.0,20.2,28.5,0.6682,3,20
2004-03-22,18.00.00,129.0,17.0,43.1,0.8264,3,17
2004-03-22,19.00.00,143.0,15.6,47.4,0.8347,3,15
2004-03-22,20.00.00,146.0,15.3,47.4,0.8178,3,15
2004-03-22,21.00.00,124.0,14.5,49.7,0.8177,3,14
2004-03-22,22.00.00,113.0,13.9,52.0,0.8231,3,13
2004-03-22,23.00.00,80.0,14.5,49.4,0.8106,3,14
2004-03-23,00.00.00,72.0,13.8,51.4,0.8071,3,13
2004-03-23,01.00.00,64.0,14.0,51.3,0.8163,3,14
2004-03-23,02.00.00,70.0,13.0,56.8,0.8444,3,13
2004-03-23,04.00.00,31.0,10.1,76.8,0.9483,3,10
2004-03-23,05.00.00,22.0,8.8,80.5,0.9147,3,8
2004-03-23,06.00.00,47.0,9.6,75.4,0.9004,3,9
2004-03-23,07.00.00,88.0,9.8,75.0,0.9093,3,9
2004-03-23,08.00.00,130.0,10.0,74.2,0.9117,3,10
2004-03-23,09.00.00,132.0,11.2,69.7,0.9232,3,11
2004-03-23,10.00.00,132.0,12.0,62.9,0.8803,3,12
2004-03-23,11.00.00,131.0,12.8,55.8,0.821,3,12
2004-03-23,12.00.00,129.0,13.1,54.8,0.8234,3,13
2004-03-23,13.00.00,132.0,13.8,53.4,0.8351,3,13
2004-03-23,14.00.00,110.0,16.0,42.4,0.7674,3,16
2004-03-23,15.00.00,99.0,14.1,49.8,0.7971,3,14
2004-03-23,16.00.00,100.0,12.0,61.1,0.8537,3,12
2004-03-23,17.00.00,122.0,13.6,54.6,0.8465,3,13
2004-03-23,18.00.00,97.0,13.7,49.5,0.7695,3,13
2004-03-23,19.00.00,112.0,11.7,57.1,0.7822,3,11
2004-03-23,20.00.00,128.0,11.5,58.2,0.7867,3,11
2004-03-23,21.00.00,101.0,12.6,54.2,0.7881,3,12
2004-03-23,22.00.00,96.0,12.0,54.9,0.7664,3,12
2004-03-23,23.00.00,86.0,11.0,61.4,0.8057,3,11
2004-03-24,00.00.00,85.0,11.1,62.2,0.8199,3,11
2004-03-24,01.00.00,79.0,10.8,62.5,0.8082,3,10
2004-03-24,02.00.00,61.0,11.3,60.0,0.8025,3,11
2004-03-24,04.00.00,66.0,10.2,62.7,0.7813,3,10
2004-03-24,05.00.00,54.0,10.9,58.6,0.7628,3,10
2004-03-24,06.00.00,57.0,10.8,57.2,0.7382,3,10
2004-03-24,07.00.00,75.0,10.4,59.2,0.7455,3,10
2004-03-24,08.00.00,97.0,11.0,57.3,0.7501,3,11
2004-03-24,09.00.00,110.0,11.2,56.9,0.7565,3,11
2004-03-24,10.00.00,113.0,12.1,54.9,0.7734,3,12
2004-03-24,11.00.00,88.0,15.1,44.3,0.7535,3,15
2004-03-24,12.00.00,85.0,15.6,40.6,0.7146,3,15
2004-03-24,13.00.00,96.0,16.9,34.6,0.6597,3,16
2004-03-24,14.00.00,106.0,16.6,35.6,0.6697,3,16
2004-03-24,15.00.00,91.0,11.3,63.9,0.8554,3,11
2004-03-24,16.00.00,126.0,9.6,81.1,0.972,3,9
2004-03-24,17.00.00,130.0,11.7,69.1,0.9497,3,11
2004-03-24,18.00.00,111.0,10.7,68.5,0.8794,3,10
2004-03-24,19.00.00,134.0,10.7,67.3,0.8643,3,10
2004-03-24,20.00.00,136.0,10.8,65.7,0.8486,3,10
2004-03-24,21.00.00,125.0,10.3,66.3,0.8336,3,10
2004-03-24,22.00.00,108.0,10.1,66.9,0.8248,3,10
2004-03-24,23.00.00,87.0,10.4,61.1,0.7717,3,10
2004-03-25,00.00.00,89.0,10.3,59.9,0.7516,3,10
2004-03-25,01.00.00,58.0,11.0,58.4,0.7686,3,11
2004-03-25,02.00.00,54.0,9.1,68.1,0.789,3,9
2004-03-25,04.00.00,28.0,9.3,72.3,0.8496,3,9
2004-03-25,05.00.00,20.0,9.9,66.8,0.8152,3,9
2004-03-25,06.00.00,51.0,7.6,83.2,0.8695,3,7
2004-03-25,07.00.00,82.0,8.1,79.0,0.8544,3,8
2004-03-25,08.00.00,112.0,8.7,74.6,0.8429,3,8
2004-03-25,09.00.00,119.0,8.6,75.1,0.8415,3,8
2004-03-25,10.00.00,99.0,9.7,69.7,0.8389,3,9
2004-03-25,11.00.00,98.0,11.0,64.4,0.8447,3,11
2004-03-25,12.00.00,88.0,13.6,53.0,0.8209,3,13
2004-03-25,13.00.00,96.0,14.2,48.4,0.778,3,14
2004-03-25,14.00.00,81.0,14.2,46.3,0.7438,3,14
2004-03-25,15.00.00,92.0,16.0,41.3,0.7462,3,16
2004-03-25,16.00.00,105.0,17.7,35.4,0.7094,3,17
2004-03-25,17.00.00,88.0,17.1,37.4,0.7225,3,17
2004-03-25,18.00.00,103.0,14.9,40.5,0.6835,3,14
2004-03-25,19.00.00,141.0,13.4,47.8,0.7293,3,13
2004-03-25,20.00.00,133.0,12.6,52.5,0.7642,3,12
2004-03-25,21.00.00,119.0,12.2,53.2,0.7555,3,12
2004-03-25,22.00.00,106.0,10.6,56.1,0.714,3,10
2004-03-25,23.00.00,92.0,9.9,59.5,0.7276,3,9
2004-03-26,00.00.00,97.0,9.6,61.1,0.7323,3,9
2004-03-26,01.00.00,91.0,9.7,61.6,0.7425,3,9
2004-03-26,02.00.00,83.0,9.4,62.6,0.7398,3,9
2004-03-26,04.00.00,59.0,8.0,69.4,0.7459,3,8
2004-03-26,05.00.00,73.0,7.7,72.4,0.7655,3,7
2004-03-26,06.00.00,78.0,8.0,71.8,0.7711,3,8
2004-03-26,07.00.00,90.0,8.5,66.3,0.7375,3,8
2004-03-26,08.00.00,110.0,9.8,59.6,0.7214,3,9
2004-03-26,09.00.00,114.0,11.2,57.0,0.7544,3,11
2004-03-26,10.00.00,119.0,14.8,44.1,0.7407,3,14
2004-03-26,11.00.00,121.0,16.8,35.3,0.6729,3,16
2004-03-26,12.00.00,97.0,19.2,27.1,0.5976,3,19
2004-03-26,13.00.00,99.0,19.1,26.2,0.5741,3,19
2004-03-26,14.00.00,85.0,16.3,30.8,0.5683,3,16
2004-03-26,15.00.00,75.0,14.2,36.8,0.5922,3,14
2004-03-26,16.00.00,87.0,13.4,41.0,0.6292,3,13
2004-03-26,17.00.00,102.0,14.2,43.3,0.6982,3,14
2004-03-26,18.00.00,105.0,12.1,45.6,0.6403,3,12
2004-03-26,19.00.00,98.0,10.4,48.0,0.6046,3,10
2004-03-26,20.00.00,93.0,10.0,51.1,0.628,3,10
2004-03-26,21.00.00,91.0,9.8,50.8,0.6172,3,9
2004-03-26,22.00.00,85.0,9.7,50.4,0.6063,3,9
2004-03-26,23.00.00,74.0,9.9,50.2,0.6103,3,9
2004-03-27,00.00.00,87.0,9.4,53.4,0.63,3,9
2004-03-27,01.00.00,79.0,8.6,57.8,0.6488,3,8
2004-03-27,02.00.00,78.0,8.1,62.1,0.6746,3,8
2004-03-27,04.00.00,63.0,7.4,64.8,0.6683,3,7
2004-03-27,05.00.00,48.0,8.2,58.9,0.6444,3,8
2004-03-27,06.00.00,59.0,6.3,66.6,0.641,3,6
2004-03-27,07.00.00,65.0,7.2,62.9,0.6396,3,7
2004-03-27,08.00.00,71.0,7.2,63.9,0.65,3,7
2004-03-27,09.00.00,84.0,11.1,50.5,0.6654,3,11
2004-03-27,10.00.00,93.0,15.5,36.1,0.6313,3,15
2004-03-27,11.00.00,99.0,17.8,29.2,0.592,3,17
2004-03-27,12.00.00,93.0,17.6,30.1,0.6013,3,17
2004-03-27,13.00.00,96.0,19.1,26.8,0.5861,3,19
2004-03-27,14.00.00,114.0,17.7,28.6,0.5735,3,17
2004-03-27,15.00.00,101.0,17.8,28.4,0.5737,3,17
2004-03-27,16.00.00,108.0,18.7,26.0,0.5555,3,18
2004-03-27,17.00.00,117.0,17.1,31.3,0.6038,3,17
2004-03-27,18.00.00,125.0,15.8,36.1,0.644,3,15
2004-03-27,19.00.00,133.0,14.7,40.1,0.6657,3,14
2004-03-27,20.00.00,119.0,13.6,44.9,0.6991,3,13
2004-03-27,21.00.00,107.0,12.5,48.1,0.6946,3,12
2004-03-27,22.00.00,96.0,11.8,50.8,0.7042,3,11
2004-03-27,23.00.00,105.0,10.9,56.1,0.7326,3,10
2004-03-28,00.00.00,102.0,10.9,55.9,0.7277,3,10
2004-03-28,01.00.00,97.0,10.3,58.1,0.7278,3,10
2004-03-28,02.00.00,79.0,9.3,62.2,0.7294,3,9
2004-03-28,04.00.00,69.0,8.3,64.9,0.7124,3,8
2004-03-28,05.00.00,52.0,9.6,58.5,0.7,3,9
2004-03-28,06.00.00,62.0,7.7,66.4,0.699,3,7
2004-03-28,07.00.00,69.0,7.4,68.0,0.7043,3,7
2004-03-28,08.00.00,75.0,9.7,58.6,0.7035,3,9
2004-03-28,09.00.00,83.0,12.5,50.1,0.7242,3,12
2004-03-28,10.00.00,94.0,16.8,36.9,0.7018,3,16
2004-03-28,11.00.00,96.0,19.2,31.3,0.6887,3,19
2004-03-28,12.00.00,86.0,21.3,26.4,0.6607,3,21
2004-03-28,13.00.00,72.0,21.2,23.1,0.5768,3,21
2004-03-28,14.00.00,53.0,18.6,25.0,0.5319,3,18
2004-03-28,15.00.00,65.0,18.0,27.3,0.5594,3,18
